,Number,Plate,Well,Column,Project,SampleType,Mouse,Date,Day,Isolator,Isolator_2,Community,MouseType,Observations,Quantity.Added,X16S_Set,DNA.Extraction.Kit,SeqName,Location,finalDaySamples
S134,134,2,D,2,MouseExp1,Cecum,B,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S134,Cecum,1
S135,135,2,D,3,MouseExp1,Cecum,1L,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S135,Cecum,1
S136,136,2,D,4,MouseExp1,Cecum,1R,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S136,Cecum,1
S137,137,2,D,5,MouseExp1,Cecum,2R,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S137,Cecum,1
S138,138,2,D,6,MouseExp1,Stool,1L,9.3,44,121,126,Stool2SI,B6,,NA,2,Power Bead,S138,Stool,0
S139,139,2,D,7,MouseExp1,Stool,B,9.3,44,121,126,Stool2SI,SW1,,NA,2,Power Bead,S139,Stool,0
S14,14,1,B,2,MouseExp1,Stool,1R,7.22,1,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S14,Stool,0
S140,140,2,D,8,MouseExp1,Stool,1L,9.3,44,121,126,Stool2SI,SW1,,NA,2,Power Bead,S140,Stool,0
S141,141,2,D,9,MouseExp1,Stool,1R,9.3,44,121,126,Stool2SI,SW1,,NA,2,Power Bead,S141,Stool,0
S142,142,2,D,10,MouseExp1,Stool,2R,9.3,44,121,126,Stool2SI,SW1,,NA,2,Power Bead,S142,Stool,0
S143,143,2,D,11,MouseExp1,Stool,1L,9.3,44,115,126,SI2Stool,B6,Cross-contaminated/Empty,NA,2,Power Bead,S143,Stool,0
S145,145,2,E,1,MouseExp1,Stool,1L,9.3,44,115,126,SI2Stool,SW1,,NA,2,Power Bead,S145,Stool,0
S146,146,2,E,2,MouseExp1,Stool,1R,9.3,44,115,126,SI2Stool,SW1,,NA,2,Power Bead,S146,Stool,0
S147,147,2,E,3,MouseExp1,Stool,2R,9.3,44,115,126,SI2Stool,SW1,,NA,2,Power Bead,S147,Stool,0
S148,148,2,E,4,MouseExp1,Stool,1L,8.26,36,121,126,Stool2SI,B6,,NA,2,Power Bead,S148,Stool,0
S149,149,2,E,5,MouseExp1,Stool,B,8.26,36,121,126,Stool2SI,SW1,,NA,2,Power Bead,S149,Stool,0
S15,15,1,B,3,MouseExp1,Stool,B,7.22,1,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S15,Stool,0
S150,150,2,E,6,MouseExp1,Stool,1L,8.26,36,121,126,Stool2SI,SW1,,NA,2,Power Bead,S150,Stool,0
S151,151,2,E,7,MouseExp1,Stool,1R,8.26,36,121,126,Stool2SI,SW1,,NA,2,Power Bead,S151,Stool,0
S152,152,2,E,8,MouseExp1,Stool,2R,8.26,36,121,126,Stool2SI,SW1,,NA,2,Power Bead,S152,Stool,0
S153,153,2,E,9,MouseExp1,Stool,1L,8.26,36,115,126,SI2Stool,B6,,NA,2,Power Bead,S153,Stool,0
S154,154,2,E,10,MouseExp1,Stool,B,8.26,36,115,126,SI2Stool,SW1,,NA,2,Power Bead,S154,Stool,0
S155,155,2,E,11,MouseExp1,Stool,1L,8.26,36,115,126,SI2Stool,SW1,,NA,2,Power Bead,S155,Stool,0
S156,156,2,E,12,MouseExp1,Stool,1R,8.26,36,115,126,SI2Stool,SW1,,NA,2,Power Bead,S156,Stool,0
S157,157,2,F,1,MouseExp1,Stool,2R,8.26,36,115,126,SI2Stool,SW1,,NA,2,Power Bead,S157,Stool,0
S158,158,2,F,2,MouseExp1,Stool,1L,8.27,37,121,126,Stool2SI,B6,,NA,2,Power Bead,S158,Stool,0
S159,159,2,F,3,MouseExp1,Stool,B,8.27,37,121,126,Stool2SI,SW1,,NA,2,Power Bead,S159,Stool,0
S16,16,1,B,4,MouseExp1,Stool,2L,7.22,1,121,NA,Stool,SW2,Runny,NA,1,Power Bead,S16,Stool,0
S160,160,2,F,4,MouseExp1,Stool,1L,8.27,37,121,126,Stool2SI,SW1,,NA,2,Power Bead,S160,Stool,0
S161,161,2,F,5,MouseExp1,Stool,1R,8.27,37,121,126,Stool2SI,SW1,,NA,2,Power Bead,S161,Stool,0
S162,162,2,F,6,MouseExp1,Stool,2R,8.27,37,121,126,Stool2SI,SW1,,NA,2,Power Bead,S162,Stool,0
S163,163,2,F,7,MouseExp1,Stool,1L,8.27,37,115,126,SI2Stool,B6,,NA,2,Power Bead,S163,Stool,0
S165,165,2,F,9,MouseExp1,Stool,1L,8.27,37,115,126,SI2Stool,SW1,,NA,2,Power Bead,S165,Stool,0
S166,166,2,F,10,MouseExp1,Stool,1R,8.27,37,115,126,SI2Stool,SW1,,NA,2,Power Bead,S166,Stool,0
S167,167,2,F,11,MouseExp1,Stool,2R,8.27,37,115,126,SI2Stool,SW1,,NA,2,Power Bead,S167,Stool,0
S168,168,2,F,12,MouseExp1,Stool,1L,8.25,35,121,126,Stool2SI,B6,,NA,2,Power Bead,S168,Stool,0
S169,169,2,G,1,MouseExp1,Stool,B,8.25,35,121,126,Stool2SI,SW1,,NA,2,Power Bead,S169,Stool,0
S17,17,1,B,5,MouseExp1,Stool,1L,7.22,1,121,NA,Stool,SW2,,NA,1,Power Bead,S17,Stool,0
S170,170,2,G,2,MouseExp1,Stool,1L,8.25,35,121,126,Stool2SI,SW1,,NA,2,Power Bead,S170,Stool,0
S171,171,2,G,3,MouseExp1,Stool,1R,8.25,35,121,126,Stool2SI,SW1,,NA,2,Power Bead,S171,Stool,0
S172,172,2,G,4,MouseExp1,Stool,2R,8.25,35,121,126,Stool2SI,SW1,,NA,2,Power Bead,S172,Stool,0
S173,173,2,G,5,MouseExp1,Stool,1L,8.25,35,115,126,SI2Stool,B6,,NA,2,Power Bead,S173,Stool,0
S174,174,2,G,6,MouseExp1,Stool,B,8.25,35,115,126,SI2Stool,SW1,,NA,2,Power Bead,S174,Stool,0
S175,175,2,G,7,MouseExp1,Stool,1L,8.25,35,115,126,SI2Stool,SW1,,NA,2,Power Bead,S175,Stool,0
S176,176,2,G,8,MouseExp1,Stool,1R,8.25,35,115,126,SI2Stool,SW1,,NA,2,Power Bead,S176,Stool,0
S177,177,2,G,9,MouseExp1,Stool,2R,8.25,35,115,126,SI2Stool,SW1,,NA,2,Power Bead,S177,Stool,0
S178,178,2,G,10,MouseExp1,Stool,1L,8.24,34,121,126,Stool2SI,B6,,NA,2,Power Bead,S178,Stool,0
S179,179,2,G,11,MouseExp1,Stool,B,8.24,34,121,126,Stool2SI,SW1,,NA,2,Power Bead,S179,Stool,0
S18,18,1,B,6,MouseExp1,Stool,1L,7.22,1,121,NA,Stool,B6,,NA,1,Power Bead,S18,Stool,0
S180,180,2,G,12,MouseExp1,Stool,1L,8.24,34,121,126,Stool2SI,SW1,,NA,2,Power Bead,S180,Stool,0
S181,181,2,H,1,MouseExp1,Stool,1R,8.24,34,121,126,Stool2SI,SW1,,NA,2,Power Bead,S181,Stool,0
S182,182,2,H,2,MouseExp1,Stool,2R,8.24,34,121,126,Stool2SI,SW1,,NA,2,Power Bead,S182,Stool,0
S183,183,2,H,3,MouseExp1,Stool,1L,8.24,34,115,126,SI2Stool,B6,,NA,2,Power Bead,S183,Stool,0
S184,184,2,H,4,MouseExp1,Stool,B,8.24,34,115,126,SI2Stool,SW1,,NA,2,Power Bead,S184,Stool,0
S185,185,2,H,5,MouseExp1,Stool,1L,8.24,34,115,126,SI2Stool,SW1,,NA,2,Power Bead,S185,Stool,0
S186,186,2,H,6,MouseExp1,Stool,1R,8.24,34,115,126,SI2Stool,SW1,,NA,2,Power Bead,S186,Stool,0
S187,187,2,H,7,MouseExp1,Stool,2R,8.24,34,115,126,SI2Stool,SW1,,NA,2,Power Bead,S187,Stool,0
S188,188,2,H,8,MouseExp1,Stool,1R,8.6,16,115,NA,Small Intestine,B6,,NA,2,Power Bead,S188,Stool,0
S189,189,2,H,9,MouseExp1,Stool,1L,8.6,16,115,NA,Small Intestine,B6,,NA,2,Power Bead,S189,Stool,0
S19,19,1,B,7,MouseExp1,Stool,B,7.22,1,121,NA,Stool,SW2,Runny,NA,1,Power Bead,S19,Stool,0
S190,190,2,H,10,MouseExp1,Stool,1L,8.6,16,115,NA,Small Intestine,SW2,,NA,2,Power Bead,S190,Stool,0
S191,191,2,H,11,MouseExp1,Stool,B,8.6,16,115,NA,Small Intestine,SW2,,NA,2,Power Bead,S191,Stool,0
S192,192,2,H,12,MouseExp1,Stool,1R,8.6,16,115,NA,Small Intestine,SW2,,NA,2,Power Bead,S192,Stool,0
S193,193,3,A,1,MouseExp1,Stool,2L,8.6,16,115,NA,Small Intestine,SW2,,NA,3,Power Bead,S193,Stool,0
S194,194,3,A,2,MouseExp1,Stool,B,8.6,16,115,NA,Small Intestine,SW1,,NA,3,Power Bead,S194,Stool,0
S195,195,3,A,3,MouseExp1,Stool,1R,8.6,16,115,NA,Small Intestine,SW1,,NA,3,Power Bead,S195,Stool,0
S196,196,3,A,4,MouseExp1,Stool,2R,8.6,16,115,NA,Small Intestine,SW1,,NA,3,Power Bead,S196,Stool,0
